location,IDPs,Migrants,Host,Refugee,Returnee,Total
YE31063110900,5,,,,,5
YE31063111000,5,,,,,5
YE31062510300,5,,,,,5
YE31062210200,,,5,,,5
YE31062210800,5,,,,,5
YE31062410300,5,,,,,5
YE31063210300,5,,,,,5
YE31063210700,,,5,,,5
YE31062110300,5,,,,,5
YE31062110400,,,5,,,5
YE31062110600,5,,,,,5
YE31063410500,,,5,,,5
YE31063411400,5,,5,,,10
YE31063411300,10,,,,,10
YE31022110100,,,5,,,5
YE31022410100,5,,,,,5
YE31022410800,5,,,,,5
YE31022411500,,,5,,,5
YE31022310200,5,,,,,5
YE31022210100,5,,,,,5
YE31022210200,,,10,,,10
YE31022510300,,,5,,,5
YE31023910300,5,,,,,5
YE31023410700,,,5,,,5
YE31023410300,,,5,,,5
YE31023110400,,,5,,,5
YE31023810300,5,,,,,5
YE31013310500,5,,,,,5
YE31012510300,5,,,,,5
YE31012311000,,,5,,,5
YE31012410400,5,,5,,,10
YE31012410300,5,,,,,5
YE31012910200,5,,,,,5
YE31012810100,,,5,,,5
YE31053010700,5,,,,,5
YE31052110400,,,5,,,5
YE31052110200,5,,,,,5
YE31052110600,,,5,,,5
YE31052410100,,,5,,,5
YE31052410200,,,5,,,5
YE31052410600,,,5,,,5
YE31052410500,,,5,,,5
YE31053310400,,,5,,,5
YE31053310500,5,,,,,5
YE31052910200,,,5,,,5
YE31042210300,5,,,,,5
YE31042210900,5,,,,,5
YE31042212400,,,10,,,10
YE31042212100,,,5,,,5
YE31042211000,,,5,,,5
YE31042710400,5,,,,,5
YE31042710500,10,,,,,10
YE31042710200,5,,,,,5
YE31042710600,5,,15,,,20
YE31042311000,,,5,,,5
YE31042311100,5,,,,,5
YE26122100160,,,10,,,10
YE22072100101,10,,,,10,20
YE22072111000,,,10,,,10
YE22072110900,,,5,,,5
YE22072210300,10,,,,5,15
YE22072210500,,,,,5,5
YE22072210200,,,,,10,10
YE22132200100,5,,,,,5
YE22132210200,5,,,,,5
YE22132210700,,,5,,,5
YE22132310100,5,,,,,5
YE22132310800,,,5,,,5
YE22132110100,,,,,5,5
YE22132110300,,,5,,10,15
YE22122610500,5,,,,,5
YE22122610100,5,,5,,,10
YE22122110300,,,,,5,5
YE22122411600,,,5,,,5
YE22122410700,,,,,5,5
YE22122411300,5,,,,,5
YE22122412000,,,,,5,5
YE22122410400,,,,,5,5
YE22122410100,5,,,,,5
YE22122311300,,,5,,,5
YE22122310400,,,,,5,5
YE22072100130,,,5,,,5
YE22012100101,,,,,5,5
YE22012710100,5,,,,,5
YE22012710600,5,,,,,5
YE22012710400,,,,,5,5
YE22012710900,5,,5,,,10
YE22012211200,,,5,,,5
YE22012310300,,,,,5,5
YE22012510900,,10,,,,10
YE22012511000,,,5,,,5
YE22012511500,5,,,,,5
YE22012411000,,10,,,,10
YE22042110800,5,,,,,5
YE22042311100,,,5,,,5
YE22042310300,,,5,,,5
YE22042210300,5,,,,,5
YE22042212600,5,,,,,5
YE22042210500,,,5,,,5
YE22042213000,5,,,,,5
YE22082100101,,,,,10,10
YE22083210800,5,,5,,,10
YE22083210200,,,,,5,5
YE22083210400,,,5,,5,10
YE22082210600,5,,,,,5
YE22082310100,,,,,10,10
YE22082610300,,,,,5,5
YE22082910400,5,,,,,5
YE22082911000,,,5,,,5
YE22082910900,5,,,,,5
YE22082910200,5,,,,,5
YE22083010300,,,5,,,5
YE22142111200,,,,,5,5
YE22142110300,5,,,,,5
YE22142111000,5,,,,,5
YE22142110400,,,,,5,5
YE22142111100,,,,,5,5
YE22142110600,5,,,,,5
YE22142610700,,,5,,,5
YE22142511200,,,5,,,5
YE22142210900,5,,,,,5
YE22142210600,,,5,,,5
YE22142411100,,,,,10,10
YE22102810200,,,5,,,5
YE22102510200,5,,,,,5
YE22102510300,,,,,5,5
YE22103211000,5,,,,,5
YE22103210300,,,5,,,5
YE22012100130,,,5,,,5
YE22102300201,5,,,,10,15
YE22102110100,5,,,,,5
YE22102610100,,,5,,,5
YE22032110200,5,,,,,5
YE22032110600,,,10,,,10
YE22032110700,5,,,,,5
YE22032110100,,,,,15,15
YE22033010600,5,,,,,5
YE22033310500,,,5,,,5
YE22032610400,5,,,,,5
YE22082910100,,165,,,,165
YE22022410700,,25,,,,25
YE22022310800,,,5,,,5
YE22022311400,,,5,,,5
YE22022310500,5,,,,5,10
YE22022210100,,,5,,,5
YE22022110100,5,,,,,5
YE22022110600,,,5,,,5
YE22022100101,5,,,,10,15
YE22022110300,5,,,,,5
YE22052411100,,,,,5,5
YE22052610100,,,5,,,5
YE22102300130,,,5,,,5
YE22053210300,5,,,,,5
YE22053210500,,,,,5,5
YE22053210100,5,,,,,5
YE22053210700,,,,,5,5
YE22053310600,5,,,,,5
YE22053510400,,,5,,,5
YE22053510500,5,,,,,5
YE22052211000,5,,,,,5
YE22052110600,,,5,,,5
YE22152210500,,,,,5,5
YE22152210300,5,,,,,5
YE22053200130,,25,,,,25
YE22152100130,,,5,,,5
YE22152100140,,,5,,,5
YE22152100101,20,,,,70,90
YE22152100150,,,5,,,5
YE22112110300,,,5,,,5
YE22112310700,5,,,,,5
YE22112410100,5,,,,15,20
YE22112511100,10,,,,,10
YE22152100160,,,5,,,5
YE22112210100,5,,,,,5
YE22112711500,,,5,,,5
YE22112711900,,,5,,,5
YE22112712100,5,,,,,5
YE22112710700,5,,,,,5
YE22112910200,,,,,5,5
YE22112910300,,,5,,,5
YE22112910600,10,,,,,10
YE22112810900,,,5,,,5
YE22112811200,5,,,,,5
YE22112610900,5,,,,,5
YE22112612600,,,5,,,5
YE22112611000,,,5,,,5
YE22093710100,,,,,5,5
YE22093910100,,,5,,,5
YE22093911400,5,,,,,5
YE22093910900,5,,,,,5
YE22093311800,,,,,10,10
YE22093311200,5,,,,,5
YE22094012000,5,,,,,5
YE22093811100,,,5,,,5
YE22093610100,,,,,5,5
YE22092111500,,,,,5,5
YE22092210700,,,5,,,5
YE22062110500,,,5,,,5
YE22062210500,,,5,,,5
YE22062210600,,,5,,,5
YE23082110500,10,,,,,10
YE23082712700,,,5,,,5
YE23082312300,,,5,,,5
YE23082311100,5,,,,,5
YE23082811500,,,5,,,5
YE23082812600,,,5,,,5
YE23094210900,,,5,,,5
YE23093611200,10,,,,,10
YE23093111300,,,5,,,5
YE23095010100,,,5,,,5
YE23092210100,5,,,,,5
YE23152113200,5,,,,,5
YE23152110400,,,5,,,5
YE23152112500,,,5,,,5
YE23152112800,,,5,,,5
YE23152111400,10,,,,,10
YE23152100100,,,5,,,5
YE23022311500,,,5,,,5
YE23023510200,5,,,,,5
YE23023511500,,,5,,,5
YE23022111000,,,5,,,5
YE23022110100,5,,,,,5
YE23022411600,,,5,,,5
YE23023410200,5,,,,,5
YE23132210200,5,,,,,5
YE23132211800,5,,,,,5
YE23132211400,,,5,,,5
YE23132100100,5,,,,,5
YE23132412200,,,5,,,5
YE23132412100,5,,,,,5
YE23132411400,,,5,,,5
YE23132412000,,,5,,,5
YE23132410100,5,,,,,5
YE23142114600,,,5,,,5
YE23142110100,,,5,,,5
YE23142113300,,,5,,,5
YE23142117800,15,,,,,15
YE23042710600,,,5,,,5
YE23042410800,5,,,,,5
YE23042210200,5,,,,,5
YE23042310100,10,,,,,10
YE23042510800,,,5,,,5
YE23042510100,,,5,,,5
YE23073110700,,,5,,,5
YE23073411200,5,,,,,5
YE23072110100,,,5,,,5
YE23072112100,,,5,,,5
YE23072510900,,,5,,,5
YE23072510100,,,5,,,5
YE23073300101,5,,,,,5
YE23072710600,10,,,,20,30
YE23062310100,,,5,,,5
YE23062110100,,,5,,,5
YE23062111300,10,,,,,10
YE23062111100,5,,,,,5
YE23062210800,,,5,,,5
YE23062210700,,,5,,,5
YE23012410100,5,,,,,5
YE23012310300,,,5,,,5
YE23012110300,,,,,10,10
YE23012111700,,,,,5,5
YE23012100107,10,,,,,10
YE13192100106,5,,,,,5
YE13192100105,20,,,,,20
YE13192100101,5,,,,,5
YE23012100102,15,,,,,15
YE23012100108,5,,,,,5
YE23012211500,5,,,,,5
YE23012210500,,,5,,,5
YE23012211400,5,,,,,5
YE23012211300,5,,,,,5
YE23012210300,5,,,,,5
YE23012211600,,,5,,,5
YE23012210800,,,5,,,5
YE23162211500,,,5,,,5
YE23162310700,,,5,,,5
YE23162310900,5,,,,,5
YE23162410200,5,,,,,5
YE23162410300,,,5,,,5
YE23162110500,,,5,,,5
YE23162100101,10,,,,,10
YE23162110100,,,5,,,5
YE23122111600,,,5,,,5
YE23122112700,,,5,,,5
YE23122112200,,,5,,,5
YE23122312300,,,5,,,5
YE23122311500,10,,,,,10
YE23122210400,5,,,,,5
YE23102510300,5,,,,,5
YE23102611400,,,5,,,5
YE23103810600,,,5,,,5
YE23103810500,,,5,,,5
YE23102100101,15,,,,,15
YE23103710100,,,5,,,5
YE23032311300,5,,,,,5
YE23032311800,,,5,,,5
YE23032311900,,,5,,,5
YE23032310600,,,5,,,5
YE23032110800,5,,,,,5
YE23032110200,5,,,,,5
YE23032110900,5,,,,,5
YE23032412700,,,5,,,5
YE23112410700,,,5,,,5
YE23112810100,,,5,,,5
YE23112210900,5,,,,,5
YE23112510900,,,5,,,5
YE23112110300,5,,,,,5
YE23112710500,5,,,,,5
YE23112711200,,,5,,,5
YE23112710100,5,,,,,5
YE23053010200,,,5,,,5
YE23053010400,,,,,30,30
YE23053000201,,,,,5,5
YE23052911400,5,,,,,5
YE23052910900,5,,,,,5
YE23052910500,,,5,,,5
YE23052910700,,,5,,,5
YE23052911100,5,,5,,,10
YE13242100110,5,,,5,,10
YE13242100106,5,,,,45,50
YE13242100105,5,,,,,5
YE13242100104,5,,,,20,25
YE13242100114,5,,,10,20,35
YE13242100107,5,,,,,5
YE23052100111,5,,,,,5
YE13242100112,,,,,15,15
YE21062200100,5,,,,,5
YE21062119200,,,5,,,5
YE21062211200,,,5,,,5
YE21062186000,5,,,,,5
YE21062121400,5,,,,,5
YE21062214900,,,5,,,5
YE21022120000,,,,,15,15
YE21022219700,,,5,,,5
YE21022180900,,,5,,,5
YE21022180800,,,5,,,5
YE21022117700,5,,,,,5
YE21022117800,10,,,,,10
YE22112500130,,,5,,,5
YE21152112800,,,5,,,5
YE21152130800,5,,,,,5
YE21152100101,10,,,,,10
YE21152116900,,,5,,,5
YE21042219000,,,5,,,5
YE21042212900,,,5,,,5
YE21042183300,,,5,,,5
YE21122115600,5,,,,,5
YE21122123600,,,5,,,5
YE21122100101,5,,,,,5
YE21122129200,5,,,,,5
YE21122126100,,,,,5,5
YE21122119600,,,5,,25,30
YE21122115500,,,5,,,5
YE21122120000,,,,,5,5
YE21122110600,,,5,,,5
YE21152100130,,,5,,,5
YE21132100104,5,,,,20,25
YE21132200102,,,,,10,10
YE21132210800,5,,,,,5
YE21132100103,15,,,,25,40
YE21132100105,10,,,,40,50
YE21132100101,5,,,,,5
YE21132213000,,,,,10,10
YE21132116700,,,5,,,5
YE21132116500,,,5,,,5
YE21072126300,,,5,,,5
YE21072122600,,,5,,,5
YE21072113400,5,,,,,5
YE21072126200,5,,,,,5
YE21072213200,,,,,10,10
YE21072227500,,,,,5,5
YE21072221700,,,,,5,5
YE21072219900,5,,,,,5
YE21072213800,,,5,,,5
YE21072100101,5,,,,5,10
YE21072223300,5,,5,,,10
YE21012110800,15,,,,15,30
YE21012180500,,,5,,,5
YE21012115700,,,5,,,5
YE21012100100,,,5,,,5
YE21142324100,,,5,,,5
YE21142328100,,,5,,,5
YE21142200101,5,,,,,5
YE21142121700,,,5,,,5
YE21142127800,5,,,,,5
YE21142118100,5,,,,,5
YE21112200101,10,,,,,10
YE21112111300,5,,,,,5
YE21112186000,,,5,,,5
YE21112181800,,,5,,,5
YE21112182000,,,5,,,5
YE21032218600,,,5,,,5
YE21032131000,,,5,,,5
YE21032130900,,,5,,,5
YE21032200100,15,,,,,15
YE21162118000,,,,,15,15
YE21162118300,,,,,5,5
YE21162210900,,,5,,,5
YE21162214300,,,5,,,5
YE21162110300,10,0,5,15,5,35
YE21162213400,,,5,,,5
YE21162200101,5,,,,,5
YE21082110200,,,5,,,5
YE21082310100,10,,,,,10
YE21082510100,,,5,,,5
YE21082810300,,,5,,,5
YE21082810100,5,,,,,5
YE21092211100,5,,,,,5
YE21092329600,5,,,,,5
YE21092316100,5,,,,,5
YE21092131800,,,5,,,5
YE21092225500,,,5,,,5
YE21092324400,,,5,,,5
YE21092311000,,,5,,,5
YE21102321200,,,,,20,20
YE21102100101,15,,,,,15
YE21102210300,,,5,,,5
YE21102122100,,,5,,,5
YE21102214500,,,5,,,5
YE21172210900,,,,,5,5
YE21172118200,,,5,,,5
YE21172210200,10,,5,,5,20
YE21172210500,5,,,,5,10
YE21172211100,,,,,5,5
YE21172120600,,,5,,,5
YE21052213600,10,,,,,10
YE21052213000,5,,,,,5
YE21052230900,10,,,,,10
YE21052210600,,,,,10,10
YE21052119100,5,,,,,5
YE21052127900,0,0,5,25,0,30
YE21052118700,,,5,,,5
YE21052111500,5,,,,5,10
YE21052110100,0,0,5,15,0,20
YE21052122900,,,5,,,5
YE21052114200,,,,,5,5
YE21052121400,5,,,,,5
YE21052111200,5,,,,,5
YE21052122700,5,,,,,5
YE21052120300,5,,,,,5
YE21052100101,5,,,,,5
YE32012113600,,,5,,15,20
YE32012115800,,,,,5,5
YE32012217700,5,,,,5,10
YE21132100130,,,15,,,15
YE32012145200,,,5,,,5
YE32012248000,35,0,5,0,0,40
YE32012269200,,,5,,,5
YE32012280100,,,5,,,5
YE32012170900,,,5,,,5
YE32012273800,,,5,,,5
YE32012167700,15,,,,,15
YE32012249400,,,,,35,35
YE32012240300,,,5,,,5
YE32012118600,,,5,,,5
YE32012113800,,,5,,,5
YE32012266900,,,5,,,5
YE32012128400,,,5,,,5
YE32012111100,,,5,,,5
YE32012264800,,,5,,,5
YE32012242900,,,,,10,10
YE32012249200,40,,,,,40
YE32012200130,,,25,,,25
YE32012147700,15,,,,,15
YE32012240600,,,5,,,5
YE32012256600,10,,,,,10
YE32012116100,,,5,,,5
YE32012131100,,,5,,,5
YE32012248300,,,5,,,5
YE32012243000,,,5,,,5
YE32012114300,,,10,,,10
YE32012113400,,,5,,35,40
YE32012122600,,,5,,,5
YE32012123700,,,5,,,5
YE32012211900,,,5,,,5
YE32012145500,,,5,,,5
YE32012146400,,,5,,,5
YE32012200140,,,5,,,5
YE32022100102,35,,,,,35
YE32022202400,5,,,,,5
YE32022117700,,,5,,,5
YE32022120300,,,,,20,20
YE32022121100,,,,,10,10
YE32022118700,,,5,,,5
YE32022114900,,,5,,,5
YE32022116200,,,,,10,10
YE32022119600,,,5,,,5
YE32022114600,,,5,,,5
YE32022112200,,,5,,,5
YE32022120400,,,5,,,5
YE15212410800,,,5,,,5
YE15212411200,5,,,,,5
YE15212411000,5,,,,,5
YE15212411100,5,,,,,5
YE15212410200,,,5,,,5
YE15212410900,5,,,,,5
YE15212610600,,,5,,,5
YE15212310600,5,,,,,5
YE15212310100,,,5,,,5
YE15212110200,,,5,,,5
YE15222210500,,,5,,,5
YE15222710200,,,5,,,5
YE15222711200,,,5,,,5
YE15222311100,5,,,,,5
YE15222412000,,,5,,,5
YE15222110100,5,,,,,5
YE15222110200,5,,,,,5
YE15222114600,5,,,,,5
YE15222113400,,,5,,,5
YE15222110400,5,,,,,5
YE15112910100,,,5,,,5
YE15112910600,,,5,,,5
YE15112911200,,,,,5,5
YE15112610300,,,,,5,5
YE15112111200,5,,,,,5
YE15112110700,5,,,,,5
YE15112112000,,,,,5,5
YE15112111000,,,,,5,5
YE15112111300,5,,,,,5
YE15113110300,,,5,,,5
YE15112710200,5,,,,,5
YE15113210100,5,,,,,5
YE15113210200,,,5,,,5
YE15112410200,,,5,,,5
YE15112510500,,,,,5,5
YE16062100101,,,5,,,5
YE15172100135,,,5,,,5
YE15172100101,25,,,,65,90
YE15172100144,,,5,,,5
YE15052410100,5,,,,,5
YE15052410200,,,5,,,5
YE15052310400,,,5,,,5
YE15052310100,5,,5,,,10
YE32012200150,,,5,,,5
YE15052100101,15,,,,25,40
YE15052210200,,,5,,10,15
YE15182100111,,,5,,,5
YE15182100101,25,,,,25,50
YE15182100141,,,5,,,5
YE15182100126,,,5,,,5
YE15152510500,5,,,,,5
YE15152310100,,,,,5,5
YE15152211000,,,,,5,5
YE15152210500,,,,,5,5
YE15152211400,5,,,,5,10
YE15152211500,5,,,,,5
YE15152210900,,,,,5,5
YE15152210400,,,5,,,5
YE15152100100,5,,10,,,15
YE15152110500,,,,,5,5
YE15152110700,,,5,,,5
YE15132710100,,,5,,,5
YE15132210400,,,,,5,5
YE15132210500,,,,,5,5
YE15132210100,,,5,,,5
YE15132110100,,,5,,,5
YE15132110400,,,5,,,5
YE15132310800,,,5,,,5
YE15132310400,,,,,5,5
YE15132910100,5,,,,,5
YE15132910400,5,,,,,5
YE15132610600,,,,,5,5
YE15132810200,5,,,,,5
YE15133010200,10,,,,5,15
YE15143100101,5,,,,,5
YE15144710300,,,5,,,5
YE15144710400,5,,,,,5
YE15143610100,,,5,,,5
YE15142310200,5,,,,,5
YE15144410600,5,,,,,5
YE15143410400,,,5,,,5
YE15203810600,5,,,,,5
YE15203310100,,,5,,,5
YE15204010700,5,,,,,5
YE15203710700,5,,,,,5
YE15203710200,,,5,,,5
YE15203010200,,,5,,,5
YE15203010400,,,5,,,5
YE15202110200,5,,,,,5
YE15202110700,5,,,,,5
YE15202210100,5,,,,,5
YE15062110800,10,,,,5,15
YE15062111000,5,,10,,,15
YE15062110100,5,,,,10,15
YE15052100130,,,5,,,5
YE15062110300,5,,,,,5
YE15062111200,,,,,5,5
YE15122212100,,,10,,,10
YE15122212200,5,,,,,5
YE15122200201,5,,,,,5
YE15122210600,,,5,,,5
YE15122110200,5,,,,,5
YE15062100130,,,5,,,5
YE15122110900,,,5,,,5
YE15162411300,,,5,,,5
YE15162510300,,,5,,,5
YE15162311800,5,,,,,5
YE15162310100,,,5,,,5
YE15162310300,,,5,,,5
YE15162112000,5,,,,,5
YE15162111700,5,,,,,5
YE15162112100,5,,,,,5
YE15162112400,,,5,,,5
YE15162200101,5,,,,,5
YE15082810500,,,5,,,5
YE15082710600,,,5,,,5
YE15082210200,5,,,,,5
YE15083110300,,,5,,,5
YE15082310500,,,,,5,5
YE15082611000,5,,,,,5
YE15082911100,5,,,,,5
YE15082910800,,,,,5,5
YE15082910500,5,,,,10,15
YE15083210300,,,5,,,5
YE15083310100,,,5,,,5
YE15083010800,5,,,,,5
YE15043810800,,,5,,,5
YE15043810600,5,,,,,5
YE15042910100,,,,,10,10
YE15042811000,,,,,5,5
YE15044410600,,,5,,,5
YE15042210200,5,,,,,5
YE15042110100,5,,,,,5
YE15043110200,,,5,,,5
YE15092110300,5,,,,,5
YE15092111100,,,5,,,5
YE15092111000,,,5,,,5
YE15092110200,10,,,,,10
YE15092210600,5,,,,,5
YE15092210800,,,5,,20,25
YE15014010600,10,,,,,10
YE15012210100,5,,,,,5
YE15012510600,,,5,,,5
YE15013810200,,,5,,,5
YE15013710100,,45,,,,45
YE15013910100,5,,,,,5
YE15012710100,,,5,,,5
YE15013410200,,,5,,,5
YE15013410100,,,5,,,5
YE15014210100,5,,,,,5
YE15072210100,5,,,,5,10
YE15072310100,10,,5,,,15
YE15072310200,,,,,5,5
YE15072110300,,,,,5,5
YE15072110100,,,5,,,5
YE15122100130,,,5,,,5
YE15072110500,,,5,,,5
YE15072100101,10,,,,10,20
YE15102410200,,,5,,,5
YE15102110200,,,5,,,5
YE15102110500,,,,,15,15
YE15103110500,,,5,,,5
YE15102610100,5,,,,,5
YE15102310300,5,,,,,5
YE15102310800,5,,,,,5
YE15102910400,,,5,,,5
YE15102710300,,,,,5,5
YE15103210100,5,,,,,5
YE15103210400,,,5,,,5
YE15103210900,5,,,,,5
YE15192100148,,,5,,,5
YE15072100130,,,5,,,5
YE15192100107,,,5,,,5
YE15192100101,25,,,,25,50
YE15232112300,5,,,,,5
YE15232112700,,,5,,,5
YE15232112600,,,5,,,5
YE15232110500,5,,5,,,10
YE15232110700,10,,5,,,15
YE15232110400,5,,,,,5
YE15034010400,5,,,,,5
YE15032810300,5,,,,,5
YE15033910100,5,,,,,5
YE15034110200,,,5,,,5
YE15032110300,5,,,,,5
YE15032710600,5,,,,,5
YE15032710500,,,5,,,5
YE15032710700,,,5,,,5
YE15022210200,5,,,,,5
YE15022810500,5,,,,,5
YE15022811100,5,,,,,5
YE15022810700,5,,,,,5
YE15023610200,,,5,,,5
YE15022110300,5,,,,,5
YE15022611100,,,5,,,5
YE15023510900,,,5,,,5
YE15023510500,,,5,,,5
YE15023710100,,,5,,,5
